Module Code,Lecturer,Topic,Question,Answer
"CMB218","Martin Jackson","Key Equations","Give the geometric relationship equation between recrystallised grain size and original deformed grain boundary area","""$$d_{\text{rex}} \propto \left(\frac{G}{\dot{N}}\right)^{1/4} \cdot \left(S_V\right)^{-1}$$ \n\n*(Used to predict recrystallised grain size based on growth rate $G$, nucleation rate $\dot{N}$, and original grain boundary surface area per unit volume $S_V$)*"""
"CMB218","Martin Jackson","Key Equations","Give the Zener pinning pressure equation exerted by particles on a grain boundary","""$$P_S = \frac{3 F_v \gamma}{2 r}$$ \n\n*(Used to calculate the pinning pressure opposing grain boundary migration based on particle volume fraction $F_v$, boundary energy $\gamma$, and particle radius $r$)*"""
"CMB218","Martin Jackson","Key Equations","Give the transformation stretch tensor deformation gradient used to express the Bain Strain","$$\mathbf{U} = \begin{pmatrix} \eta_1 & 0 & 0 \\ 0 & \eta_2 & 0 \\ 0 & 0 & \eta_3 \end{pmatrix} = \begin{pmatrix} \sqrt{2}\frac{a_{\text{BCC}}}{a_{\text{FCC}}} & 0 & 0 \\ 0 & \sqrt{2}\frac{a_{\text{BCC}}}{a_{\text{FCC}}} & 0 \\ 0 & 0 & \frac{c_{\text{BCT}}}{a_{\text{FCC}}} \end{pmatrix}$$ \n\n*(Used to calculate the principal lattice distortions required to displacively transform parent austenite into product martensite)*"CMB218,Colin Robert,Thermodynamics,Distinguish between Substitutional and Interstitial solid solutions at the atomic level?,"In Substitutional solid solutions, solute atoms substitute directly for solvent atoms of a similar size within the host lattice. In Interstitial solid solutions, the solute atoms are small enough to occupy the gaps or empty spaces (interstices) between the host matrix atoms."
CMB218,Colin Robert,Thermodynamics,State the thermodynamic equations for the 1st 2nd and 3rd Laws of Thermodynamics?,"**1st Law:** $\Delta U = \Delta q + \Delta w$ (where enthalpy is $\Delta H = \Delta U + p\Delta V$). \n**2nd Law:** $\Delta S > 0$ (at absolute zero $0\text{ K}$, $\Delta S = 0$). \n**3rd Law:** $\Delta G = \Delta H - T\Delta S$, also written as $G = -RT\ln(k)$."
CMB218,Colin Robert,Ideal Solutions,Why do materials naturally form solutions and what is the fundamental ideal solution Gibbs Free Energy equation?,"Materials form solutions to spontaneously reduce their overall Gibbs Free Energy. The ideal solution equation is: $$G^{\text{id}} = G_M - T\Delta S_M$$ (where $G_M = X_A G_A + X_B G_B$ and $T\Delta S_M$ represents the entropy of the solution, completely ignoring atomic interactions)."
CMB218,Colin Robert,Non-Ideal Solutions,How do non-ideal solution calculations incorporate atomic interactions and Excess Gibbs Free Energy?,Non-ideal solutions explicitly account for interactions between different types of neighboring atoms. The relationship is governed by: $$G^S = G_M - T\Delta S_M + \Delta G^{\text{XS}}$$ where the Excess Gibbs Free Energy is the difference between the potential energy of the real solution and an ideal mixture: $\Delta G^{\text{XS}} = \Delta H^{\text{XS}} - T\Delta S^{\text{XS}}$.
CMB218,Colin Robert,Phase Diagrams,How do Gibbs Free Energy curves dictate solid and liquid boundary limits on a phase diagram?,"A thermodynamic system always drives toward the lowest global Gibbs Free Energy state. If $G^S < G_M$, a solution forms. If $G^S > G_M$, it remains phase-separated. The absolute minima of the solid and liquid $G^S$ curves establish the exact boundary lines for the Solid and Liquid phases on a phase diagram."
CMB218,Colin Robert,Phase Diagrams,What is the thermodynamic cause of a Miscibility Gap and what is its kinetic nature?,"A miscibility gap occurs when the potential energy interactions between like atoms are stronger than between different atoms, resulting in an excess Gibbs Free Energy greater than zero ($\Delta G^{\text{XS}} > 0$). This forms an unstable mechanical mixture via a simultaneous, non-activated transformation because any slight change in composition drops the system's total Gibbs Free Energy."
CMB218,Colin Robert,Phase Diagrams,Define Partial Molar Gibbs Energy and explain how to determine it geometrically?,"It is the effective thermodynamic contribution of one mole of a specific substance toward the total Gibbs Free Energy of a mixture, expressed as: $$G^S = X_A \bar{G}_A + X_B \bar{G}_B$$ Geometrically, it is identified by drawing a tangent line to the $G^S$ curve at a specific composition point and tracking where it intersects the vertical axes at 100% $A$ ($\bar{G}_A$) and 100% $B$ ($\bar{G}_B$)."
CMB218,Colin Robert,Phase Diagrams,What mathematical equality defines chemical potentials when two phases are in equilibrium?,"When two phases (such as solid $S$ and liquid $L$) coexist in equilibrium within a two-phase region, their partial molar Gibbs energies must balance: $$\bar{G}_A^L = \bar{G}_A^S \quad \text{and} \quad \bar{G}_B^L = \bar{G}_B^S$$ Found geometrically by drawing a single common tangent line that touches the minima of both the solid and liquid energy curves."
CMB218,Colin Robert,Phase Diagrams,State the Lever Rule equation used to calculate phase fractions?,$$N_S : N_L = (X_L - X_O) : (X_O - X_S)$$ This calculates the ratio of solid to liquid phases based on the distance from the overall starting alloy composition ($X_O$) to the opposite phase boundaries ($X_L$ and $X_S$).
CMB219,Richard Thackray,Titanium,Outline the sequential industrial chemical processes used to manufacture Titanium sponge?,"Titanium dioxide ($\text{TiO}_2$, rutile) undergoes chlorination with Carbon to produce Titanium Tetrachloride ($\text{TiCl}_4$). This intermediate chemical is reduced to Titanium metal sponge using either the **Kroll Process** ($\text{TiCl}_4 + \text{Mg} \rightarrow \text{MgCl}_2 + \text{Ti}$) or the **Hunter Process** ($\text{TiCl}_4 + \text{Na} \rightarrow \text{NaCl} + \text{Ti}$)."
CMB219,Richard Thackray,Titanium,What is the FFC Cambridge Process and what are its standard operating conditions?,An electrode-based extraction method where solid $\text{TiO}_2$ serves as the cathode and graphite serves as the anode in a bath of molten $\text{CaCl}_2$ electrolyte. Electricity directly reduces $\text{Ti}^{4+}$ to raw Titanium metal at an estimated energy cost of £5/kg ($125\text{ MWh/ton}$).
CMB219,Richard Thackray,Titanium,Why must Titanium processing occur under a vacuum and how are impurities avoided during hot working?,"Hot Titanium reacts aggressively with air molecules (Oxygen, Nitrogen, Hydrogen) to form embrittling interstitial impurities. Processing occurs under a vacuum using Vacuum Arc Remelting (VAR) or skull melting in a water-cooled copper crucible. During hot working, parts are lubricated with Graphite or Glass to prevent oxidation damage, and cold working is avoided entirely."
CMB219,Richard Thackray,Automotive,Compare Aluminum versus Steel across cost density elastic modulus and fatigue limits?,"**Cost:** Steel is roughly 1/3 to 1/4 the raw material cost of Al and cheaper to manufacture due to easier welding and recycling. \n**Density & Modulus:** Al has $\sim 1/3$ the density of steel but a lower Young's Modulus ($E_{\text{Al}} = 70\text{ GPa}$ vs $E_{\text{steel}} = 210\text{ GPa}$). \n**Fatigue:** Steel exhibits a distinct endurance limit, whereas Al has $\sim 1/2$ the fatigue strength and no definitive endurance limit."
CMB219,Richard Thackray,Microstructure,What phase transformation sequence produces a Supersaturated Solid Solution (SSSS) during precipitation hardening?,"The alloy undergoes **Homogenisation**, followed by **Solution Treatment** at a high single-phase temperature to dissolve solutes. It is then rapidly **Quenched** to trap the solute atoms in the matrix at room temperature before they can diffuse out, creating a highly unstable, high-entropy Supersaturated Solid Solution (SSSS)."
CMB219,Richard Thackray,Microstructure,Contrast Natural versus Artificial ageing during alloy precipitation strengthening?,"**Natural Ageing:** Solute atoms slowly diffuse out of the unstable SSSS over time at room temperature. \n**Artificial Ageing:** The alloy is heated to an elevated temperature, which provides thermal activation energy to accelerate solute diffusion and control the size and distribution of the resulting strengthening precipitates."
CMB219,Richard Thackray,Microstructure,Why do interstitial impurities exert a greater influence on matrix yield strength than substitutional impurities?,"Interstitial impurities sit inside the tight interstitial spaces of the host crystal lattice, generating intense asymmetric local lattice distortion fields. These strong strain fields interact much more strongly with the stress fields of moving dislocations than the symmetrical distortions caused by substitutional atoms, making dislocation motion significantly more difficult."
CMB219,Richard Thackray,Steels,Outline the sequential processing infrastructure routing used to transform raw iron ore into continuous cast steel shapes?,$$\text{Blast Furnace} \rightarrow \text{Hot Metal} \rightarrow \text{Oxygen Furnace} \rightarrow \text{Refining} \rightarrow \text{Continuous Casting/Shaping}$$ *Note: The blast and basic oxygen furnaces can be replaced entirely by an Electric Arc Furnace (EAF) when melting recycled scrap steel.*
CMB219,Richard Thackray,Steels,List the primary industrial engineering advantages and disadvantages of steel?,"**Advantages:** Very cheap raw materials, superb mechanical properties (high elastic stiffness, tensile strength, and impact fracture toughness), excellent weldability, and fully recyclable. \n**Disadvantages:** Exceptionally high volumetric weight/density, and poor natural corrosion resistance (CR)."
CMB219,Richard Thackray,Steels,Describe the microstructural layout of Pearlite and explain hypoeutectoid versus hypereutectoid distributions?,"Pearlite is a lamellar mixture consisting of alternating plates of soft Ferrite and hard Cementite ($\text{Fe}_3\text{C}$) that forms at the eutectoid composition. In a **hypoeutectoid** steel (< eutectoid), proeutectoid ferrite forms along the prior austenite grain boundaries. In a **hypereutectoid** steel (> eutectoid), brittle cementite lines the prior austenite grain boundaries."
CMB219,Richard Thackray,Steels,What is the crystal structure of Martensite and how is its brittleness adjusted for industrial applications?,"Martensite has a Body-Centered Tetragonal (BCT) crystal structure with fewer active slip systems, resulting in an exceptionally hard and brittle material. To improve its toughness, it is **tempered** by heating, which allows trapped carbon atoms to diffuse out and transforms the highly strained BCT lattice back into a stable BCC layout."
CMB219,Richard Thackray,Titanium,Compare the Kroll and Hunter processes for manufacturing Titanium sponge by their reduction reactions?,**Kroll Process:** Reduces titanium tetrachloride using molten magnesium: $\text{TiCl}_4 + 2\text{Mg} \rightarrow 2\text{MgCl}_2 + \text{Ti}$. \n**Hunter Process:** Reduces titanium tetrachloride using molten sodium: $\text{TiCl}_4 + 4\text{Na} \rightarrow 4\text{NaCl} + \text{Ti}$. Both run as batch reactions taking approximately 5 days.
CMB219,Richard Thackray,Titanium,What furnace types must be used to melt Titanium to prevent interstitial gas contamination?,"Melt processing must be performed using electric furnaces under a strict vacuum or inert gas blanket to avoid Hydrogen contamination. Specific methods include **Vacuum Arc Remelting (VAR)** with a consumable arc, or **Skull Melting** inside a water-cooled copper crucible."
CMB219,Richard Thackray,Automotive,Compare Aluminum and Steel regarding energy absorption formability and specific stiffness?,"**Energy Absorption:** Steel has a higher energy absorption capacity than Aluminum. \n**Formability:** Aluminum has lower formability, coming in at approximately 2/3 the formability performance of steel. \n**Specific Stiffness:** Steel achieves a higher overall specific stiffness compared to Aluminum."
CMB219,Richard Thackray,Automotive,Compare Aluminum and Steel regarding hardness and magnetic behavior based on automotive requirements?,"**Hardness:** Aluminum's hardness is lower, matching roughly 2/3 the hardness value of steel. \n**Magnetic Behavior:** Aluminum is completely non-magnetic, whereas certain types of steels exhibit magnetic properties."
CMB219,Richard Thackray,Microstructure,What physical change causes solute atoms to form precipitates when an alloy cools?,"As the temperature of a solid solution drops, the thermodynamic solubility limit of solute component B within solvent matrix A decreases. This forces the excess solute atoms to diffuse out of the matrix grains and cluster together, forming discrete second-phase precipitate particles ($\text{ppt hardening}$)."
CMB219,Richard Thackray,Microstructure,How does solid solution strengthening physically restrict the movement of dislocations?,"Solute atoms with different atomic radii distort the host crystal lattice, generating intense local stress fields. Because of the high internal entropy of the mixture, these strain fields block the path of dislocations, making slip considerably more difficult and raising the matrix yield strength."
CMB219,Richard Thackray,Steels,What microstructural phases separate at the prior austenite grain boundaries in hypoeutectoid vs hypereutectoid steels?,"In **hypoeutectoid steels** ($<\text{ eutectoid composition}$), soft proeutectoid ferrite nucleates and spreads along the prior austenite grain boundaries. In **hypereutectoid steels** ($>\text{ eutectoid composition}$), a brittle network of proeutectoid cementite ($\text{Fe}_3\text{C}$) grows along the prior austenite grain boundaries."
CMB219,Richard Thackray,Steels,What are the primary microstructural and structural layout characteristics of Martensite?,"Martensite consists of an exceptionally fine-grained microstructure featuring a needle-like or lath morphology. It crystallizes into a highly strained, non-cubic tetragonal lattice that possesses very few active slip systems, making it highly resistant to plastic slip."
CMB219,Richard Thackray,Steels,How does the microstructure of High Strength Low Alloy (HSLA) steels differ from traditional plain carbon steels?,"HSLA steels utilize micro-alloying additions to precipitate fine transition-metal carbides along the prior austenite grain boundaries. These carbides restrict grain boundary movement during processing, significantly raising the overall yield strength via grain size refinement according to the Hall-Petch relationship."
CMB219,Richard Thackray,Summary,List four metallurgical mechanisms used to maximize a metal's yield strength?,"Yield strength can be actively increased via: (1) Work hardening (dislocation accumulation), (2) Solid solution strengthening (lattice strain fields), (3) Precipitation hardening (dislocation cutting or looping barriers), and (4) Grain size refinement (increasing grain boundary surface area)."
CMB219,Richard Thackray,Equations,State the industrial Rolling Load Force equation and list its variables,"$$F = c \cdot w \cdot \sqrt{R \cdot (h_o - h_f)} \cdot \sigma_{\text{flow}}$$ \n\nTracks roll separating forces: \n$F$ = rolling load \n$c$ = friction factor \n$w$ = strip width \n$R$ = work roll radius \n$h_o, h_f$ = initial and final thicknesses \n$\sigma_{\text{flow}}$ = metal flow stress."
CMB219,Richard Thackray,Equations,State the complete Extrusion Ratio and Extrusion Pressure normalized formulas,"**Extrusion Ratio:** $R = \frac{A_o}{A_f} \ln(R)$ \n**Extrusion Pressure:** $\frac{P}{\sigma_{\text{flow}}} = a + b \ln(R)$ \n\nWhere $P$ is extrusion pressure, $A_o$ is initial billet cross-sectional area, $A_f$ is final product area, $\sigma_{\text{flow}}$ is flow stress, and $a, b$ represent experimental extrusion constants."
CMB219,Richard Thackray,Equations,State the Forging Load Upsetting Force formula and identify its variables,$$P = \sigma_{\text{flow}} \cdot \left(1 + \frac{2 m r}{3 h}\right)$$ \n\nCalculates press requirements: \n$P$ = total forging force \n$\sigma_{\text{flow}}$ = material flow stress \n$m$ = operational interface friction factor \n$r$ = effective radius of the cylinder workpiece \n$h$ = instantaneous height of the workpiece.
CMB219,Richard Thackray,Equations,State the Hall-Petch grain size strengthening formula and identify its parameters,$$\sigma_o = \sigma_I + \frac{k}{\sqrt{d}}$$ \n\nWhere: \n$\sigma_o$ = total observed material yield strength \n$\sigma_I$ = intrinsic lattice friction stress resisting dislocation movement \n$k$ = material-specific locking constant \n$d$ = average crystal grain diameter.
"CMB219","Richard Thackray","Solid State Processing","What are the primary and secondary solid state metal processing methods?","Primary: Rolling, Extrusion, Forging. Secondary: Wire Drawing, Machining. The initial workpiece is always produced via casting."
"CMB219","Richard Thackray","Rolling","What does the rolling process produce and what are its key characteristics?","Produces flat plates and beams at high speed. Requires high equipment cost. Work rollers and intermediate rollers are made of hard, rigid martensitic steel."
"CMB219","Richard Thackray","Rolling","What defects occur in rolling and how are they mitigated?","Surface defects: treat the workpiece prior to rolling. Structural defects: homogenise the billet prior to rolling. Anisotropy is also a problem in rolled products."
"CMB219","Richard Thackray","Extrusion","What are the four types of metal extrusion?","Direct: billet slides relative to the container wall. Impact: direct extrusion but produces hollow shapes. Indirect: the die moves towards the stationary billet. Hydrostatic: chamber is filled with fluid that transmits pressure to the billet, eliminating friction."
"CMB219","Richard Thackray","Extrusion","What are the defects in metal extrusion and how are they mitigated?","Surface cracking: optimise temperature and speed. Piping: impurities concentrate at the billet centre — change flow pattern or pre-machine the billet. Discard: wasted non-extruded billet material remaining in the chamber."
"CMB219","Richard Thackray","Extrusion","What is the extrusion strain rate equation and its variables?","$$\dot{\varepsilon} = \frac{6v\ln(R)}{D}$$ where $v$ is ram velocity, $R = A_0/A_f$ is the extrusion ratio, and $D$ is the billet diameter."
"CMB219","Richard Thackray","Forging","What are the five types of forging and their characteristics?","Open die: deformation between two flat plates, barrelling may occur due to friction. Impression die: material fills die cavity, excess flows sideways forming flash which improves die filling. Closed die: no flash, precise volume control. Near net shape: forge close to final spec then machine. Isothermal: die heated to workpiece temperature for greater microstructural control — very expensive."
"CMB219","Richard Thackray","Forging","What is forgeability and what defects occur in forging?","Forgeability is the capability of a metal to undergo deformation without severe surface cracking. Defects: surface cracking, buckling due to excess material. To prevent defects, die design should eliminate small radii."
"CMB219","Richard Thackray","Casting","What is castability and what factors affect it?","Castability is the ease of casting a material. It depends on: melt reactivity, melt fluidity, freezing range, and stress resistance. Optimised by decreasing porosity and minimising inclusions/defects."
"CMB219","Richard Thackray","Casting","Compare sand, investment, and permanent mould casting by applicability, finish, and tolerance.","Sand: wide applicability, poor finish, poor tolerance. Investment: wide applicability, good finish, good tolerance. Permanent mould: limited applicability, best finish, best tolerance."
"CMB219","Richard Thackray","Casting","Describe the sand casting process.","A pattern is embedded in sand and a gating/running system is added. Removing the pattern leaves a mould cavity that metal is poured into. Low dimensional accuracy but surface finish can be acceptable."
"CMB219","Richard Thackray","Casting","Describe the investment casting process.","A wax pattern is coated in ceramic slurry, dried, and heated — the wax is poured out leaving a mould. Metal is poured in. Produces good surface finish and tolerances but is high cost."
"CMB219","Richard Thackray","Casting","What are the two types of permanent mould casting?","Pressure: molten metal is forced into the permanent mould under pressure. Gravity: metal flows downward into the mould under its own weight. Permanent moulds give the best surface finish and tolerances of all casting methods."
"CMB219","Richard Thackray","Casting","What are feeders in casting and when are they not needed?","Feeders compensate for volume change during solidification — most metals shrink, so feeder size must change with time. C and Si expand as temperature decreases, so combining steel with high quantities of C and Si eliminates the need for a feeder."
"CMB219","Richard Thackray","Casting","What are the casting defects and their effects?","Metallic flash, cavities, discontinuities, surface cracking, incorrect dimensions, inclusions. Porosity is particularly damaging — reduces UTS and ductility, and cracks propagate easily between pores, reducing $K_{1c}$."
"CMB219","Richard Thackray","Casting","What are the methods to mitigate porosity in castings?","Degas before casting (bubble Ar/N/Cl through the melt to remove dissolved gases); pull a vacuum; use feeders to limit shrinkage; design the mould to move porosity to non-critical regions; hot isostatic pressing (HIP) to close pores."
"CMB219","Richard Thackray","Casting","What are the three advanced casting improvements and what do they achieve?","Squeeze casting: high pressure reduces grain size. Semi-solid forming: partially solid feedstock under pressure reduces gas evolution and porosity. Vacuum die casting: reduced ambient pressure decreases porosity."
"CMB219","Richard Thackray","Powder Metallurgy","What is Additive Layer Manufacturing (ALM) for metals and what are its variants?","Rapid solidification produces metal powder. Powder bed: laser selectively sinters thin layers — unsintered powder is recovered. Blown powder: powder is blown into a laser beam and fused to previously deposited material. Electron beam variant preheats the layer, annealing it with no residual stresses."
"CMB219","Richard Thackray","Powder Metallurgy","What are the advantages and disadvantages of ALM for metals?","Advantages: high design freedom, low scrap rate, can produce intricate parts, customisable materials. Disadvantages: expensive hardware and materials. Lasers cause residual stresses from cold surrounding powder; electron beam avoids this by preheating."
"CMB219","Richard Thackray","Powder Metallurgy","What is Metal Injection Moulding (MIM) and what is its key problem?","Metal powder is mixed with a binder (35:65 binder:metal ratio) and injection moulded. The binder is removed and the part is sintered. Key problem: carbon pickup from the binder during debinding, which must be mitigated."
"CMB219","Richard Thackray","Powder Metallurgy","What is Hot Isostatic Pressing (HIP) and what does it achieve?","The part is pressed from all directions simultaneously at high temperature (~1200K, 100MPa) inside a steel capsule. Consolidates solid-state materials, homogenises, reduces grain size, and closes internal porosity. Produces good dimensional accuracy and surface quality."
"CMB236","Kathy Christofidou","Dislocation Geometry","How do edge and screw dislocations differ in terms of their line vector and Burgers vector, and what constraint does this place on slip?","Edge dislocations have their line vector perpendicular to the Burgers vector; screw dislocations have line vector parallel to the Burgers vector. Because a dislocation can only slip on the plane that contains both its line vector and its Burgers vector, edge dislocations are confined to a single glide plane, while screw dislocations can cross-slip to any plane containing their Burgers vector."
"CMB236","Kathy Christofidou","Dislocation Geometry","What is the Burgers vector, and what rules govern its behaviour as a dislocation moves through a crystal?","The Burgers vector b is the closure failure between a loop in the perfect crystal and the same loop around the dislocation — it quantifies the magnitude and direction of the lattice distortion. It remains constant throughout a dislocation's life, even if the dislocation type changes (i.e. line vector changes). Dislocations must end at surfaces, grain boundaries, or loop/branch — they cannot terminate mid-crystal."
"CMB236","Kathy Christofidou","Dislocation Geometry","What is the maximum shear stress on an oblique plane under uniaxial tension, and how does this relate to plastic deformation?","Under uniaxial stress σ_m, the shear stress on a plane inclined at angle φ to the tensile axis is τ = σ_m sin(φ)cos(φ), maximised at φ = 45°, giving τ_max = σ_m/2. Plastic deformation initiates when τ on a slip system exceeds the CRSS. Schmid's Law is the 3D generalisation: τ_CRSS = σ_y cosθ cosλ, maximum 0.5σ_y. The ideal shear strength (~G/30) far exceeds experimental values, confirming dislocations rather than simultaneous bond-breaking control plasticity."
"CMB236","Kathy Christofidou","Dislocation Mechanics","What is the Peierls-Nabarro stress, and what material and geometric factors determine it?","The PN stress is the minimum shear stress needed to move a dislocation. It depends on shear modulus G, Poisson's ratio ν, Burgers vector b, and dislocation width w. Wider dislocations have lower PN stress because the misfit is spread over more atoms, flattening the energy barrier. FCC metals are close-packed, so dislocation widths are large and PN stress is very low — and crucially, FCC PN stress is temperature-independent, unlike BCC or HCP."
"CMB236","Kathy Christofidou","Dislocation Mechanics","What is the line tension of a dislocation and what does it represent energetically?","The line tension T (energy per unit length) is T ≈ αGb² ≈ ½Gb², where α ≈ ½. This combines elastic strain energy around the core with core energy itself. It means dislocations favour short, straight configurations and resist bowing — the shear stress to bow a pinned dislocation of length L is τ = Gb/L. The Frank energy criterion states a reaction b₁ → b₂ + b₃ is favourable if b₁² > b₂² + b₃²."
"CMB236","Kathy Christofidou","Dislocation Mechanics","Derive the force per unit length on a dislocation due to an applied shear stress τ.","When a dislocation of length L sweeps area A under shear stress τ, work done = τ·b·A. Force per unit length = τb. This is the Peach-Koehler result for a straight dislocation. Larger-b dislocations experience greater force — consistent with dislocations preferring smallest-b Burgers vectors to minimise energy (proportional to b²)."
"CMB236","Kathy Christofidou","Slip Systems","State the slip systems for FCC and BCC metals and explain why each family is preferred.","FCC: {111}<1-10> — slip on close-packed {111} planes in close-packed <110> directions (12 systems). BCC: {1-10}<111> — slip in close-packed <111> directions, but no truly close-packed plane (48 systems counting {110}, {112}, {123}). Both choose the shortest Burgers vector (lowest b² = lowest energy). FCC's 12 equivalent systems give high ductility and symmetric yield behaviour."
"CMB236","Kathy Christofidou","Slip Systems","State Schmid's Law and explain how the Schmid factor determines which slip system activates first.","Schmid's Law: τ_CRSS = σ_y cosθ cosλ, where θ is the angle between tensile axis and slip plane normal, and λ is the angle between tensile axis and slip direction. Schmid factor M = cosθ cosλ is maximised at θ = λ = 45° giving M = 0.5. The system with the highest M requires the lowest applied σ to reach CRSS and yields first. The OILS rule gives a quick method to identify the highest-M system in FCC/BCC given the tensile axis indices."
"CMB236","Kathy Christofidou","Dislocation Interactions","Describe the outcome when two dislocations on different slip planes interact, and define what makes a sessile dislocation.","The resulting dislocation has Burgers vector b₃ (check Frank criterion: b₃² vs b₁² + b₂²). Its line vector is l₃ = l₁ × l₂ (intersection of the two slip planes). If the resulting slip plane (b₃ × l₃) is not in the slip system, the dislocation cannot glide — it is sessile (immobile). A Lomer-Cottrell lock is the classic example: a sessile dislocation that blocks all subsequent slip, causing pile-up and hardening."
"CMB236","Kathy Christofidou","Dislocation Interactions","Compare cross-slip and climb as mechanisms for dislocations to change glide plane, including their thermal requirements.","Cross-slip: exclusive to screw dislocations (b parallel to l), allowing movement onto any plane containing b — requires no atomic diffusion but is thermally assisted. Climb: exclusive to edge dislocations, moving perpendicular to their slip plane by absorbing or emitting vacancies/interstitials — requires significant atomic diffusion, only significant above ~0.4 Tm. Both allow dislocations to bypass obstacles and reduce work-hardening rate."
"CMB236","Kathy Christofidou","Dislocation Interactions","What are kinks and jogs, and how do they affect dislocation mobility?","When two dislocations on the same slip plane intersect, they produce kinks (steps within the slip plane) — these move easily with the dislocation. When dislocations on different planes intersect, they produce jogs (steps leaving the slip plane) — these impede motion because the jogged segment cannot glide on the original plane and may require climb, effectively pinning the dislocation. Jogs are a significant hardening source during Stage 2 of FCC single-crystal deformation."
"CMB236","Kathy Christofidou","Partial Dislocations","Explain why a perfect dislocation in FCC splits into Shockley partial dislocations and what determines their separation.","In FCC, moving B to B directly is energetically costly; splitting into B→C→B via two Shockley partials (each b = a/6<112>) is favoured if b_partial² + b_partial² < b_perfect². The two partials repel elastically (same sign). Between them lies a stacking fault (ABCABC→ABABC) with energy γ per unit area that attracts them. Equilibrium separation r is proportional to Gb²/γ. Low-SFE materials (Cu, austenitic steels) have large separation, impeding recombination and cross-slip."
"CMB236","Kathy Christofidou","Partial Dislocations","Why can partial dislocations not cross-slip, and what is the consequence for materials with low stacking fault energy?","Cross-slip requires pure screw character, but a Shockley partial has mixed b (e.g. a/6[112]) — it cannot adopt pure screw character alone. The pair must first constrict (recombine into the perfect dislocation) before cross-slip, requiring energy proportional to γ × separation. In low-SFE materials, partials are widely separated, constriction energy is high, cross-slip is suppressed, and Stage 2 work-hardening is rapid and extensive."
"CMB236","Kathy Christofidou","Partial Dislocations","Describe the Frank-Read source mechanism for dislocation multiplication.","A dislocation segment is pinned at two points distance L apart. Under shear stress τ = Gb/L it bows outward, eventually forming a near-circular arc. The two arms (of opposite sign) wrap around, meet behind the pin points, and annihilate — releasing a closed dislocation loop and reinstating the original pinned segment. The source repeats, emitting successive loops. This is the primary mechanism of dislocation multiplication during plastic deformation."
"CMB236","Kathy Christofidou","Partial Dislocations","Describe the stages of FCC single crystal deformation in relation to stacking fault energy (SFE), focusing on Stage 3 onset.","Stage 3 (dynamic recovery) onset stress decreases as SFE increases. High-SFE metals (Al): narrow partials, easy constriction, cross-slip at low stress → Stage 3 onset early, limited work hardening. Low-SFE metals (Cu, brass): wide partials, high constriction energy, cross-slip suppressed → Stage 2 extends to higher stress. Very low-SFE materials may exhibit twinning (Stage 4) before recovery. SFE thus controls the balance between work-hardening and softening during deformation."
"CMB236","Kathy Christofidou","FCC Single Crystal Deformation","Describe the three stages of FCC single crystal stress-strain behaviour and link each to underlying dislocation physics.","Stage 1 (Easy Glide): one slip system active, CRSS constant, very low work-hardening rate — dislocations glide freely with minimal interaction. Stage 2 (Linear Hardening): second system activates; dislocation interactions produce jogs, Lomer-Cottrell locks, and pile-ups; θ₂ ≈ G/300, high and constant. Stage 3 (Dynamic Recovery): CRSS sufficient for cross-slip and climb; dislocations bypass obstacles and annihilate, work-hardening rate decreases. Higher SFE → Stage 3 onset at lower stress (easier cross-slip)."
"CMB236","Kathy Christofidou","Strengthening Mechanisms","State the Hall-Petch equation and explain its physical origin in terms of dislocation pile-up.","σ_Y = σ₀ + k_y × d^(-1/2), where σ₀ is lattice friction stress, k_y is the Hall-Petch slope, and d is grain diameter. Physical origin: dislocations pile up at grain boundaries. The stress concentration at the head of a pile-up of n dislocations scales as n × τ. For a pile-up of length ~d/2, n is proportional to d^(1/2), so stress needed to activate a source in the next grain scales as d^(-1/2). Finer grains → shorter pile-ups → lower stress concentration → higher yield stress required."
"CMB236","Kathy Christofidou","Strengthening Mechanisms","Distinguish substitutional and interstitial solid solution strengthening, and explain why interstitials produce larger hardening.","Substitutional atoms create symmetric spherical distortions — they interact mainly with the hydrostatic component of a dislocation's stress field. Interstitial atoms (C, N in Fe) sit in octahedral sites, creating asymmetric tetragonal distortions — they interact with both hydrostatic and shear components, producing much stronger pinning. Hence interstitials give larger Δσ per atom than substitutional solutes. Both hinder dislocation glide, raising CRSS."
"CMB236","Kathy Christofidou","Strengthening Mechanisms","What are Cottrell atmospheres and Lüders bands? Explain the upper/lower yield point phenomenon.","Cottrell atmospheres: solute atoms (C, N) diffuse to the tensile/compressive regions of an edge dislocation's stress field, pinning it. At the upper yield point, stress tears dislocations free. Once unpinned, dislocations move at lower stress — the lower yield point. Yielding propagates as a Lüders band across the specimen at nearly constant stress until the whole gauge length has yielded. Serrated Portevin-Le Chatelier flow at ~150°C occurs when C atoms and dislocations move at similar speeds, causing repeated pinning/unpinning."
"CMB236","Kathy Christofidou","Strengthening Mechanisms","Describe the Portevin-Le Chatelier effect and its temperature dependence in BCC iron.","At room temperature: normal Lüders band behaviour (single upper/lower yield). At ~150°C: C atoms diffuse at a rate comparable to dislocation velocity — atmospheres repeatedly form and break, giving serrated flow on the stress-strain curve. At ~300°C: C atoms move continuously with dislocations, maintaining a persistent atmosphere — no pinning/unpinning cycle, no serrations, and reduced solid-solution strengthening. Dynamic strain ageing therefore peaks at intermediate temperatures."
